taille;age;weight;sex;tour_de_cheville;longueur_du_bras;largeur_du_dos;tour_de_ventre_maximal;tour_de_poitrine;tour_de_poitrine_mesure_a_la_main;hauteur_de_poitrine;hauteur_d_entrejambe;longueur_avant;largeur_des_hanches;hauteur_des_hanches;hauteur_des_genoux;tour_du_cou;largeur_d_epaule;hauteur_des_epaules;largeur_des_epaules_a_l_horizontales;longueur_de_la_colonne_vertebrale_jusqu_au_poignet;tour_de_cuisse;tour_de_taille;hauteur_de_la_taille;profondeur_des_aisselles;longueur_du_dos;tour_de_biceps;tour_de_mollet;tour_de_coude;tour_d_avant_bras;tour_de_tête;tour_de_hanches_haut;tour_de_genou;longueur_du_cou_au_genou;angle_de_l_epaule;longueur_du_côte;longueur_du_tronc;tour_de_sous_poitrine;largeur_de_la_taille;tour_de_poignet;largeur_du_bassin;profondeur_de_poitrine;tour_d_epaule;longueur_d_avant_bras;largeur_de_mamelon_a_mamelon;taille_de_poitrine;bonnet_de_soutien_gorge;tour_de_hanches
;;;;;;0;0;;0;;;0;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;
187.198;47.0;156.48924;1.0;31.6992;69.69760000000001;0;0;139.2936;0;138.40460000000002;81.50860000000002;0;0;97.20580000000001;52.5907;53.6956;44.24680000000001;156.40050000000002;64.6938;62.230000000000004;78.994;138.5062;113.00460000000001;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;27.8257;31.1404;;;142.1892
180.594;50.0;97.975872;1.0;27.889200000000002;64.897;0;0;109.19460000000001;0;132.9944;80.6958;0;0;92.50680000000001;48.8061;48.590199999999996;44.24680000000001;149.69490000000002;51.8922;59.2074;63.6016;98.3996;106.80699999999999;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;27.2542;26.568400000000004;;;109.90580000000001
182.70220000000003;28.0;89.130828;1.0;27.787599999999998;65.405;0;0;109.19460000000001;0;130.81;83.0072;0;0;91.2114;51.9938;48.006;43.4594;149.3012;52.806599999999996;60.0964;59.89319999999999;97.0026;109.70259999999999;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;27.343100000000003;24.511000000000003;;;107.01020000000001
185.9026;52.0;113.171204;1.0;26.797;66.0908;0;0;126.111;0;135.9916;83.48979999999999;0;0;95.4024;52.705;48.107600000000005;44.3992;155.1051;58.800999999999995;59.9313;62.611;105.99419999999999;106.299;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;27.4701;26.6954;;;111.09960000000001
183.10860000000002;50.0;108.181692;1.0;28.9052;69.39280000000001;0;0;117.9068;0;132.4102;81.8896;0;0;91.0082;53.403499999999994;51.587399999999995;45.897800000000004;152.90800000000002;53.492399999999996;62.611;65.6082;104.08919999999999;106.80699999999999;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;28.4226;28.7528;;;112.395
165.1;27.0;57.83298;0.0;22.606;58.800999999999995;0;0;84.9122;0;120.1928;77.089;0;0;79.0956;45.9994;40.005;34.2138;135.2042;40.9956;52.67959999999999;57.8104;74.9046;99.5934;0;0;0;0;0;0;0;0;0;0;0;0;0;70.8914;0;0;0;0;0;24.3586;18.465799999999998;91.44;2.0;100.9904
166.49699999999999;41.0;72.121128;0.0;24.6888;61.3918;0;0;98.1964;0;118.2116;76.0984;0;0;77.6986;46.3042;40.9956;38.8112;138.7983;43.4086;55.1434;62.5094;78.2066;102.8954;0;0;0;0;0;0;0;0;0;0;0;0;0;79.4004;0;0;0;0;0;25.730200000000004;18.999200000000002;96.52;4.0;104.5972
174.49800000000002;42.0;83.460928;1.0;26.1874;63.1952;0;0;103.505;0;123.79960000000001;75.7936;0;0;81.407;47.2948;46.8122;43.0022;140.5001;49.910999999999994;57.0357;59.5122;87.1982;98.806;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;25.285700000000002;22.301199999999998;;;100.4062
163.09339999999997;48.0;66.451228;0.0;22.9108;56.794399999999996;0;0;92.9894;0;116.9924;73.50760000000001;0;0;76.2;43.1038;40.005;35.052;134.5057;42.291;51.5239;62.4078;70.0024;101.4984;0;0;0;0;0;0;0;0;0;0;0;0;0;76.91120000000001;0;0;0;0;0;22.987000000000002;18.8214;81.28;4.0;105.0036
